repo,sha,author,date,message,url
noyama-duo/homebrew-core,24078719402ff87f8245a18d3db8def5a788846f,BrewTestBot,2025-09-13T22:19:21.000Z,Merge pull request #240973 from Homebrew/stefanb/dispatch/node-sass/17701828161,https://github.com/noyama-duo/homebrew-core/commit/24078719402ff87f8245a18d3db8def5a788846f
Homebrew/homebrew-core,24078719402ff87f8245a18d3db8def5a788846f,BrewTestBot,2025-09-13T22:19:21.000Z,Merge pull request #240973 from Homebrew/stefanb/dispatch/node-sass/17701828161,https://github.com/Homebrew/homebrew-core/commit/24078719402ff87f8245a18d3db8def5a788846f
gillescj/colour-builder,b3c553e615b8786ecbe2db4d1ba4da7dde7eba8a,Colin Gillespie,2025-10-13T19:55:33.000-04:00,Merge pull request #1 from gillescj/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/gillescj/colour-builder/commit/b3c553e615b8786ecbe2db4d1ba4da7dde7eba8a
c00kiemon5ter/presentation-tnc19-identitypython-eduteams,a751798b7803daeb5ea2eee4b65f1642245315ee,Ivan Kanakarakis,2025-09-25T10:46:18.000+03:00,Merge pull request #30 from c00kiemon5ter/dependabot/npm_and_yarn/tough-cookie-and-node-sass--removed,https://github.com/c00kiemon5ter/presentation-tnc19-identitypython-eduteams/commit/a751798b7803daeb5ea2eee4b65f1642245315ee
Kuaruou/Vuex-TodoList,04e6ea5b74dc95802f436078c17230e3e19a11b6,Kuaruou,2025-10-02T22:33:08.000+08:00,Merge pull request #40 from Kuaruou/dependabot/npm_and_yarn/tough-cookie-and-node-sass--removed,https://github.com/Kuaruou/Vuex-TodoList/commit/04e6ea5b74dc95802f436078c17230e3e19a11b6
noyama-duo/homebrew-core,fe10b30d02526a44a291ebd682b6f1414ca4bf7a,BrewTestBot,2025-09-06T03:08:20.000Z,Merge pull request #236363 from Homebrew/bump-node-sass-1.92.1,https://github.com/noyama-duo/homebrew-core/commit/fe10b30d02526a44a291ebd682b6f1414ca4bf7a
Homebrew/homebrew-core,fe10b30d02526a44a291ebd682b6f1414ca4bf7a,BrewTestBot,2025-09-06T03:08:20.000Z,Merge pull request #236363 from Homebrew/bump-node-sass-1.92.1,https://github.com/Homebrew/homebrew-core/commit/fe10b30d02526a44a291ebd682b6f1414ca4bf7a
faveosuite/faveo-client-form-pwa,02bffe7aadde9dc45dc35ac08661f3c8a86c8857,dependabot[bot],2022-02-11T03:17:19.000Z,Bump node-sass from 4.13.0 to 7.0.0 in /vueapp,https://github.com/faveosuite/faveo-client-form-pwa/commit/02bffe7aadde9dc45dc35ac08661f3c8a86c8857
AvinashAnand02/SwetaPortfolio,e3a1c99cc0f715604f939d136f2f64d69e52e027,dependabot[bot],2025-09-02T16:53:39.000Z,Bump form-data and node-sass,https://github.com/AvinashAnand02/SwetaPortfolio/commit/e3a1c99cc0f715604f939d136f2f64d69e52e027
anton-karlovskiy/joyn-ai,0be108a24b8cec1fa0ca0accb10df1b1918490df,Anton K.,2025-10-04T14:28:12.000-04:00,chore: drop node-sass,https://github.com/anton-karlovskiy/joyn-ai/commit/0be108a24b8cec1fa0ca0accb10df1b1918490df
