full_name,html_url,downloads_url,created_at,updated_at,stargazers_count,language,has_issues,has_projects,has_downloads,forks_count,archived,disabled,open_issues_count,default_branch,subscribers_count,organization/type,commits_count,contr_count
Meri-MG/school,https://github.com/Meri-MG/school,https://api.github.com/repos/Meri-MG/school/downloads,2023-07-13 12:42:26+00:00,2025-09-09 10:12:10+00:00,0.0,Ruby,True,True,True,1.0,False,False,0.0,main,1.0,,127.0,1
slighter12/web-predict-stock,https://github.com/slighter12/web-predict-stock,https://api.github.com/repos/slighter12/web-predict-stock/downloads,2019-08-27 03:58:52+00:00,2025-09-15 02:26:34+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,70.0,2
frc1711/raptors1711.com,https://github.com/frc1711/raptors1711.com,https://api.github.com/repos/frc1711/raptors1711.com/downloads,2021-11-15 23:35:05+00:00,2025-09-10 22:40:40+00:00,0.0,TypeScript,True,False,True,3.0,False,False,9.0,master,2.0,Organization,111.0,1
uiewop/TRLweb,https://github.com/uiewop/TRLweb,https://api.github.com/repos/uiewop/TRLweb/downloads,2021-09-11 12:14:33+00:00,2025-09-29 02:50:55+00:00,0.0,JavaScript,True,True,True,0.0,False,False,5.0,main,1.0,,149.0,8
jeffgarris/Advanced-CSS-and-Sass-Course,https://github.com/jeffgarris/Advanced-CSS-and-Sass-Course,https://api.github.com/repos/jeffgarris/Advanced-CSS-and-Sass-Course/downloads,2018-01-02 03:06:59+00:00,2025-07-22 16:41:03+00:00,0.0,CSS,True,True,True,0.0,False,False,2.0,master,1.0,,4.0,2
wanho1108/tooool,https://github.com/wanho1108/tooool,https://api.github.com/repos/wanho1108/tooool/downloads,2018-04-16 01:58:06+00:00,2025-08-25 01:36:01+00:00,0.0,Vue,True,True,True,0.0,False,False,0.0,master,1.0,,47.0,1
seagomezar/sebastian-gomez,https://github.com/seagomezar/sebastian-gomez,https://api.github.com/repos/seagomezar/sebastian-gomez/downloads,2015-01-18 19:58:31+00:00,2025-09-09 22:00:17+00:00,1.0,SCSS,True,True,True,0.0,True,False,0.0,master,1.0,,40.0,3
limbara/my-resume,https://github.com/limbara/my-resume,https://api.github.com/repos/limbara/my-resume/downloads,2020-04-08 05:02:37+00:00,2025-08-10 08:39:01+00:00,0.0,Vue,True,True,True,0.0,False,False,1.0,master,1.0,,106.0,2
tg0825/sadari,https://github.com/tg0825/sadari,https://api.github.com/repos/tg0825/sadari/downloads,2017-11-05 01:45:37+00:00,2025-08-22 06:53:14+00:00,0.0,PHP,True,True,True,0.0,False,False,0.0,master,1.0,,403.0,2
sarcy/react-app-boilerplate,https://github.com/sarcy/react-app-boilerplate,https://api.github.com/repos/sarcy/react-app-boilerplate/downloads,2017-07-03 06:38:58+00:00,2025-08-22 06:15:04+00:00,0.0,JavaScript,True,False,True,0.0,False,False,5.0,master,1.0,,72.0,2
