repo,sha,author,date,message,url,stars,contributors,description,total_commits
ipatch/homebrew-core-catalina,050cf468c23f9609a3481629d92c468318915243,BrewTestBot,2025-08-25T23:12:17.000Z,node-sass 1.91.0,https://github.com/ipatch/homebrew-core-catalina/commit/050cf468c23f9609a3481629d92c468318915243,0.0,1.0,alt homebrew-core for macos catalina attempt to set repo to allow CI to build bottles for macos 10.15,666593.0
AdityaRitpurkar/Mern-todo-app,37bc11a96dfa5a93a2f46a094bf993eb151ae0de,Aditya Ritpurkar,2025-09-14T01:54:30.000+05:30,Replace node-sass with sass for Render compatibility,https://github.com/AdityaRitpurkar/Mern-todo-app/commit/37bc11a96dfa5a93a2f46a094bf993eb151ae0de,0.0,1.0,,4.0
ahmedeldeep28/masadir-next,5142dfd716cad4337963c84da7dffb14d64b9869,ahmedeldeep28,2025-09-10T02:47:25.000+03:00,Remove node-sass dependency from package.json,https://github.com/ahmedeldeep28/masadir-next/commit/5142dfd716cad4337963c84da7dffb14d64b9869,0.0,1.0,,10.0
Homebrew/homebrew-core,050cf468c23f9609a3481629d92c468318915243,BrewTestBot,2025-08-25T23:12:17.000Z,node-sass 1.91.0,https://github.com/Homebrew/homebrew-core/commit/050cf468c23f9609a3481629d92c468318915243,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
wanho1108/webfont-preview-and-convert,de1b1ba6b2805c0c6a3bea7eb146580803bb99c0,wanho1108,2025-08-25T02:42:22.000+09:00,Fix `node-sass-middleware` error,https://github.com/wanho1108/webfont-preview-and-convert/commit/de1b1ba6b2805c0c6a3bea7eb146580803bb99c0,0.0,1.0,웹 폰트 미리보기 및 변환 사이트,57.0
anigrili/individual_level_project,1bbf9e0f4abfc277416fcb793df01ca400b42684,anigrili,2025-08-12T08:55:46.000+08:00,Update node-sass,https://github.com/anigrili/individual_level_project/commit/1bbf9e0f4abfc277416fcb793df01ca400b42684,16.0,1.0,A Diabetes Diary App,2029.0
julienjamet/groupomania,fd75347ded8b279a272c982aa08e23c2b326e8a2,Julien JAMET,2025-08-07T14:35:57.000+02:00,remove node-sass,https://github.com/julienjamet/groupomania/commit/fd75347ded8b279a272c982aa08e23c2b326e8a2,0.0,1.0,OpenClassrooms project (React),7.0
dlhostetler/tfedb,7dbd6a90e2d79890ca868ede6c802dcc7c7ebb2c,Dennis Hostetler,2025-08-06T17:43:04.000-04:00,node-sass -> sass,https://github.com/dlhostetler/tfedb/commit/7dbd6a90e2d79890ca868ede6c802dcc7c7ebb2c,1.0,1.0,The Forest's Edge Database,64.0
dotkaio/react-dashboards,c887a4cefcec5150294c23f3d27aa08d353b52f3,kaio ferraz,2025-09-26T19:44:53.000-07:00,Merge pull request #44 from dotkaio/dependabot/npm_and_yarn/urbanui-azia-react-pro-93517b1be056/template/demo_2/tar-and-node-sass-6.1.11,https://github.com/dotkaio/react-dashboards/commit/c887a4cefcec5150294c23f3d27aa08d353b52f3,0.0,1.0,,
chriscondreay/Menu-Project,46b93e37009582435cf2d31c743be305c8d48efb,Chris Condreay,2025-08-06T03:14:11.000-07:00,removed node-sass,https://github.com/chriscondreay/Menu-Project/commit/46b93e37009582435cf2d31c743be305c8d48efb,0.0,1.0,,30.0
luckasdc/vlaaienslag,e7c7c9314d53b157d3ef3ed5c67a44a38bbf400e,luckasdc,2025-09-20T00:10:42.000+02:00,Upgrade to node 22 -> remove node-sass w/ sass,https://github.com/luckasdc/vlaaienslag/commit/e7c7c9314d53b157d3ef3ed5c67a44a38bbf400e,0.0,1.0,Site for vlaaienslag,
morarasu-alexandru/redux-async-workshop,246dd6283211415b25e288c3c7452bffcb0811a4,morarasu-alexandru,2025-08-22T12:11:30.000+03:00,Merge pull request #2 from morarasu-alexandru/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/morarasu-alexandru/redux-async-workshop/commit/246dd6283211415b25e288c3c7452bffcb0811a4,0.0,1.0,,
Homebrew/homebrew-core,c3cc00a1259f00c27f92fd925c81dd6f846d6455,BrewTestBot,2025-09-06T03:03:25.000Z,node-sass: update 1.92.1 bottle.,https://github.com/Homebrew/homebrew-core/commit/c3cc00a1259f00c27f92fd925c81dd6f846d6455,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
mosessndahiro-source/means-admin,e3dd7d6bb9200491a1423d19e60ac4aa296e8915,mosessndahiro-source,2025-09-05T06:22:08.000+02:00,chore: migrate from node-sass to sass,https://github.com/mosessndahiro-source/means-admin/commit/e3dd7d6bb9200491a1423d19e60ac4aa296e8915,0.0,1.0,,
codefordenver/Comrad,22cb9ade3c4367b6c182c3171f99eeb56c0fa030,Sean Williams,2025-07-08T14:42:04.000-06:00,Merge pull request #927 from codefordenver/926-node-sass,https://github.com/codefordenver/Comrad/commit/22cb9ade3c4367b6c182c3171f99eeb56c0fa030,25.0,1.0,"Open-source web application for radio stations to manage show schedules, traffic and compliance",2404.0
BlenderWang/strapi-gatsby-site,b2f979c53a0e3734eed75567186d75b3624dfffc,Shirley Wang,2025-08-14T09:38:45.000+02:00,Merge pull request #2 from BlenderWang/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/BlenderWang/strapi-gatsby-site/commit/b2f979c53a0e3734eed75567186d75b3624dfffc,0.0,1.0,,
anac2828/trillo,bb0188cd40abd8b9e5a4489e2a2d9ed70025a26f,anac2828,2025-08-07T17:33:14.000-07:00,removed node-sass,https://github.com/anac2828/trillo/commit/bb0188cd40abd8b9e5a4489e2a2d9ed70025a26f,0.0,1.0,,8.0
